ID,area,MAG_AUTO_F444W,MAGERR_AUTO_F444W,KRON_RADIUS_F444W,PETRO_RADIUS_F444W,ALPHA_J2000_F444W,DELTA_J2000_F444W,A_IMAGE_F444W,B_IMAGE_F444W,THETA_IMAGE_F444W,ELONGATION_F444W,ELLIPTICITY_F444W,CLASS_STAR_F444W,FLUX_RADIUS_F444W,idx42,d2d42,MAG_AUTO_F277W,MAGERR_AUTO_F277W,KRON_RADIUS_F277W,PETRO_RADIUS_F277W,ALPHA_J2000_F277W,DELTA_J2000_F277W,A_IMAGE_F277W,B_IMAGE_F277W,THETA_IMAGE_F277W,ELONGATION_F277W,ELLIPTICITY_F277W,CLASS_STAR_F277W,FLUX_RADIUS_F277W,idx415,d2d415,MAG_AUTO_F150W,MAGERR_AUTO_F150W,KRON_RADIUS_F150W,PETRO_RADIUS_F150W,ALPHA_J2000_F150W,DELTA_J2000_F150W,A_IMAGE_F150W,B_IMAGE_F150W,THETA_IMAGE_F150W,ELONGATION_F150W,ELLIPTICITY_F150W,CLASS_STAR_F150W,FLUX_RADIUS_F150W,idx411,d2d411,MAG_AUTO_F115W,MAGERR_AUTO_F115W,KRON_RADIUS_F115W,PETRO_RADIUS_F115W,ALPHA_J2000_F115W,DELTA_J2000_F115W,A_IMAGE_F115W,B_IMAGE_F115W,THETA_IMAGE_F115W,ELONGATION_F115W,ELLIPTICITY_F115W,CLASS_STAR_F115W,FLUX_RADIUS_F115W
3,10,24.36148357417318,0.0076460021167432,3.5,3.5,150.29412830602533,1.7994872149079666,3.382,3.117,87.65,1.085,0.078,0.977,3.091,469039.0,0.0081016059636975,25.67540932094409,0.0170253926397211,3.5,4.62,150.29413012939796,1.799488535172449,3.021,2.109,-69.8,1.432,0.302,0.674,2.434,131767.0,0.0083319648210017,25.328358001473845,0.0229565649771492,3.5,3.96,150.29412739205767,1.7994850883862328,1.88,1.616,5.53,1.163,0.141,0.089,1.657,386994.0,0.015374253779247,25.08074457238287,0.0226101728068047,3.5,3.5,150.294125,1.799484,1.798,1.655,21.98,1.087,0.08,0.669,1.487
6,10,25.86277083977365,0.0287937308813506,4.56,4.62,150.2809057312408,1.8254545708861536,2.419,2.315,-85.76,1.045,0.043,0.959,3.176,471994.0,0.007148707697584,27.039382222355933,0.051035176197588,3.99,5.94,150.28090559492514,1.825456551958704,1.949,1.842,-11.84,1.058,0.055,0.2,2.56,133984.0,0.0067905579538903,27.04260953815276,0.1159889044080538,5.17,8.58,150.28090476073982,1.825456188626356,1.352,1.1,-58.11,1.229,0.186,0.218,2.141,389148.0,0.0134984595066067,27.20579779491387,0.1371908051469165,4.83,6.6,150.280908,1.825458,1.236,0.93,74.36,1.33,0.248,0.012,1.687
7,10,26.73925781384961,0.0558505644542772,4.71,5.94,150.2825537987723,1.87737947490638,2.058,1.893,37.9,1.087,0.08,0.944,3.164,481287.0,0.0066425079432495,27.6461133079695,0.0664031236008918,3.5,7.26,150.28255303888767,1.8773777933176323,1.67,1.548,-13.0,1.078,0.073,0.217,2.506,141165.0,0.0168715071401187,27.188067856349846,0.1525290596338409,6.45,6.6,150.28255743976428,1.8773824280346727,1.398,0.92,72.78,1.52,0.342,0.001,2.482,397201.0,0.0155023070230468,27.28535207363175,0.17451654878944,5.86,6.6,150.28255,1.87738,1.172,0.938,-76.96,1.25,0.2,0.0,1.963
16,4,26.939944183390907,0.0679582614792961,4.44,5.94,150.17028050023694,1.9979891075012728,3.157,1.561,17.98,2.023,0.506,0.183,3.374,409421.0,0.0300508443262334,27.90180722545968,0.0839971964123629,3.72,5.28,150.17028509221953,1.997982134742771,1.794,1.455,8.46,1.233,0.189,0.007,2.568,85322.0,0.0538607457072761,27.656308833495448,0.1202220759274666,3.53,6.6,150.17026935516873,1.9979990964693328,1.236,0.996,65.59,1.241,0.194,0.003,1.761,230334.0,0.0200972291448196,27.03113294596906,0.1663120728840646,5.99,7.92,150.170275,1.997987,1.645,1.058,57.73,1.555,0.357,0.0,2.768
26,4,24.986988179049533,0.0111923334526124,3.5,3.96,150.3050874447741,2.0494196836951857,3.115,2.49,25.69,1.251,0.201,0.977,2.882,434270.0,0.0219319899342223,26.09795064470441,0.0283139490317504,4.24,5.28,150.30504346692186,2.0494372965407304,3.017,2.053,12.43,1.47,0.32,0.751,2.608,375345.0,0.0106326464201567,25.388773493033504,0.0225725338418385,3.54,3.5,150.30508470573943,2.049420792984187,1.706,1.47,-35.24,1.161,0.138,0.739,1.396,111800.0,0.0018979396355644,25.38865542531523,0.0257041027227277,3.5,3.5,150.305087,2.049419,1.579,1.324,12.5,1.193,0.162,0.051,1.291
32,3,26.291736013711525,0.0365698048896328,4.16,5.28,150.0953289162128,2.091997331943221,2.367,2.186,75.28,1.083,0.077,0.897,3.122,318694.0,0.0074200626673577,27.274717043604195,0.0661393466586349,4.71,7.26,150.09532701073348,2.0919981207636527,1.986,1.586,79.74,1.252,0.201,0.207,2.601,256739.0,0.0203361984659456,27.50127621096463,0.1004793940555281,3.5,6.6,150.09532339554437,2.0919961181055613,1.226,0.969,-74.3,1.264,0.209,0.059,1.513,428347.0,0.0216344978407137,26.9740778082794,0.1442542206254323,6.12,10.56,150.095323,2.091997,1.374,1.007,-66.7,1.365,0.267,0.0,2.48
43,5,24.27377788603033,0.0073473712420054,3.5,3.5,150.39991595514732,2.02983500860216,3.618,3.289,-87.25,1.1,0.091,0.971,3.217,24041.0,0.0117307850980483,26.145828346892323,0.0258891377472266,4.14,5.94,150.39991656525314,2.0298318076030646,2.243,2.033,88.23,1.103,0.094,0.771,2.305,377086.0,0.0183132306928786,27.15393795428643,0.12504780351038,5.2,3.96,150.3999205056511,2.029832729007992,1.368,1.026,-2.61,1.333,0.25,0.146,2.094,113511.0,0.0336368539448178,26.790853444595754,0.0857826305430052,3.72,3.96,150.399921,2.029827,1.346,1.199,57.53,1.123,0.109,0.018,1.515
48,6,26.27598621108848,0.0359937199502147,4.44,5.28,149.8185657813858,1.9745398069995577,2.274,2.057,25.25,1.105,0.095,0.974,2.923,212097.0,0.0037248635150438,27.52108139069714,0.0584527419734549,3.5,7.26,149.81856506040373,1.9745390644542025,1.798,1.503,74.01,1.196,0.164,0.915,2.24,53412.0,0.0135336684205754,27.400138369794178,0.0921734443928796,3.5,5.94,149.8185627063214,1.974541972163504,1.157,1.067,-52.31,1.084,0.077,0.196,1.362,141241.0,0.0201616415655172,27.45,-1.0,3.5,5.28,149.818562,1.974544,1.021,0.931,74.23,1.096,0.088,0.771,1.084
49,7,24.95911010226387,0.0112616544898417,3.5,3.96,149.9596376597786,1.924291754136546,3.111,2.671,-80.79,1.165,0.141,0.978,3.021,265266.0,0.0067512092609622,26.243601054992386,0.0261287521538043,4.04,5.28,149.95963605772536,1.924290777814813,2.2,2.045,-28.85,1.076,0.071,0.705,2.559,331249.0,0.0016628035877041,26.96630680003651,0.0664460461124478,3.62,5.28,149.95963806892362,1.9242919689186693,1.209,1.074,-39.0,1.126,0.112,0.485,1.373,191507.0,0.007083542349493,25.959045983609364,0.0383479383940474,3.66,4.62,149.959637,1.92429,1.396,1.318,53.1,1.059,0.055,0.011,1.405
51,7,24.813542220953305,0.0103293118359946,3.5,3.96,149.88244453723408,1.989569443130324,3.175,2.885,-2.86,1.101,0.091,0.978,3.006,220514.0,0.002514575020785,26.001452418735845,0.0179307961508389,3.5,3.96,149.88244392021804,1.9895697712196905,2.109,2.051,-22.99,1.028,0.027,0.973,2.202,219378.0,0.0112615753305227,25.35107382111048,0.0183576680841182,3.5,3.5,149.8824414665184,1.9895688366636453,1.492,1.445,-29.53,1.033,0.032,0.999,1.29,150044.0,0.0105946119198053,25.29174179486313,0.0199224055290568,3.5,3.5,149.882442,1.989569,1.366,1.318,85.89,1.036,0.035,0.992,1.154
