area,MAG_AUTO_F444W,MAGERR_AUTO_F444W,KRON_RADIUS_F444W,PETRO_RADIUS_F444W,ALPHA_J2000_F444W,DELTA_J2000_F444W,A_IMAGE_F444W,B_IMAGE_F444W,THETA_IMAGE_F444W,ELONGATION_F444W,ELLIPTICITY_F444W,CLASS_STAR_F444W,FLUX_RADIUS_F444W,idx42,d2d42,MAG_AUTO_F277W,MAGERR_AUTO_F277W,KRON_RADIUS_F277W,PETRO_RADIUS_F277W,ALPHA_J2000_F277W,DELTA_J2000_F277W,A_IMAGE_F277W,B_IMAGE_F277W,THETA_IMAGE_F277W,ELONGATION_F277W,ELLIPTICITY_F277W,CLASS_STAR_F277W,FLUX_RADIUS_F277W,idx415,d2d415,MAG_AUTO_F150W,MAGERR_AUTO_F150W,KRON_RADIUS_F150W,PETRO_RADIUS_F150W,ALPHA_J2000_F150W,DELTA_J2000_F150W,A_IMAGE_F150W,B_IMAGE_F150W,THETA_IMAGE_F150W,ELONGATION_F150W,ELLIPTICITY_F150W,CLASS_STAR_F150W,FLUX_RADIUS_F150W,idx411,d2d411,MAG_AUTO_F115W,MAGERR_AUTO_F115W,KRON_RADIUS_F115W,PETRO_RADIUS_F115W,ALPHA_J2000_F115W,DELTA_J2000_F115W,A_IMAGE_F115W,B_IMAGE_F115W,THETA_IMAGE_F115W,ELONGATION_F115W,ELLIPTICITY_F115W,CLASS_STAR_F115W,FLUX_RADIUS_F115W
9,25.48596660221673,0.0170198510665844,3.5,4.62,150.21894524668434,1.8201975079200217,2.777,2.395,70.23,1.159,0.137,0.975,2.91,52107.0,0.008842660658802,26.74165593766153,0.0349732580993811,3.5,5.94,150.21894291815465,1.8201967225519184,2.18,1.924,-76.96,1.133,0.117,0.275,2.435,11429.0,0.0024081629465282,27.44619213334601,0.0870955449133186,3.5,4.62,150.2189455166574,1.8201981200155808,1.139,0.897,23.18,1.27,0.212,0.673,1.163,385683.0,0.0363743425379346,26.566765513731585,0.0831745900839908,3.5,5.28,150.218939,1.820206,2.296,1.099,32.82,2.09,0.521,0.01,2.036
10,22.38855663438169,0.0014815151706347,3.5,3.5,150.24751279813924,1.8105401895521167,3.96,3.828,82.52,1.034,0.033,0.992,3.075,468050.0,0.0066782904735629,23.355341078668488,0.0025227014843009,3.5,3.96,150.2475126838119,1.8105420411100173,3.224,3.067,-10.38,1.051,0.049,0.856,2.647,130715.0,0.0197695238638112,22.583465564756978,0.0024719906212427,3.5,3.5,150.24751793058476,1.8105421494623808,2.573,2.157,46.93,1.192,0.161,0.99,1.39,385736.0,0.0233003064759076,22.70563303640888,0.0034249459959027,3.5,3.5,150.247519,1.81054,2.386,2.233,-87.75,1.068,0.064,0.998,1.216
10,24.36148357417318,0.0076460021167432,3.5,3.5,150.29412830602533,1.7994872149079666,3.382,3.117,87.65,1.085,0.078,0.977,3.091,469039.0,0.0081016059636975,25.67540932094409,0.0170253926397211,3.5,4.62,150.29413012939796,1.799488535172449,3.021,2.109,-69.8,1.432,0.302,0.674,2.434,131767.0,0.0083319648210017,25.328358001473845,0.0229565649771492,3.5,3.96,150.29412739205767,1.7994850883862328,1.88,1.616,5.53,1.163,0.141,0.089,1.657,386994.0,0.015374253779247,25.08074457238287,0.0226101728068047,3.5,3.5,150.294125,1.799484,1.798,1.655,21.98,1.087,0.08,0.669,1.487
10,26.53907264969545,0.0770995238989692,7.34,10.56,150.3175951685101,1.7975794577356,2.415,1.859,40.03,1.299,0.23,0.002,6.224,470038.0,0.0220627010120186,27.5476712127681,0.0997290094883061,5.5,7.92,150.317590611802,1.7975753570407458,1.886,1.467,53.33,1.286,0.222,0.002,3.414,132535.0,0.0186763992999888,27.02831754695665,0.1171449695783521,4.71,6.6,150.3175924640397,1.7975750297308632,1.455,1.337,-85.92,1.088,0.081,0.0,2.344,387769.0,0.011720261641059,27.163583263741604,0.1013907204915026,3.5,4.62,150.317598,1.797581,1.29,1.002,-55.17,1.288,0.224,0.001,1.458
10,25.47713966644184,0.0192542779054466,3.9,4.62,150.33685708927882,1.804610199737113,2.907,2.376,-19.53,1.223,0.183,0.977,3.052,471935.0,0.0115082274184828,26.58228807586872,0.0315496876555596,3.5,5.94,150.33685965773813,1.804608294838001,2.187,1.865,-8.99,1.172,0.147,0.257,2.497,133926.0,0.0100787883926095,26.52440928863244,0.0522723292648853,3.5,3.5,150.336859846622,1.8046097070771512,1.467,1.214,56.09,1.208,0.172,0.347,1.41,389068.0,0.0161490050994415,26.21272972977388,0.0652606841929778,3.5,5.28,150.336854,1.804607,2.159,1.409,-7.94,1.533,0.348,0.036,1.965
10,25.86277083977365,0.0287937308813506,4.56,4.62,150.2809057312408,1.8254545708861536,2.419,2.315,-85.76,1.045,0.043,0.959,3.176,471994.0,0.007148707697584,27.039382222355933,0.051035176197588,3.99,5.94,150.28090559492514,1.825456551958704,1.949,1.842,-11.84,1.058,0.055,0.2,2.56,133984.0,0.0067905579538903,27.04260953815276,0.1159889044080538,5.17,8.58,150.28090476073982,1.825456188626356,1.352,1.1,-58.11,1.229,0.186,0.218,2.141,389148.0,0.0134984595066067,27.20579779491387,0.1371908051469165,4.83,6.6,150.280908,1.825458,1.236,0.93,74.36,1.33,0.248,0.012,1.687
10,26.73925781384961,0.0558505644542772,4.71,5.94,150.2825537987723,1.87737947490638,2.058,1.893,37.9,1.087,0.08,0.944,3.164,481287.0,0.0066425079432495,27.6461133079695,0.0664031236008918,3.5,7.26,150.28255303888767,1.8773777933176323,1.67,1.548,-13.0,1.078,0.073,0.217,2.506,141165.0,0.0168715071401187,27.188067856349846,0.1525290596338409,6.45,6.6,150.28255743976428,1.8773824280346727,1.398,0.92,72.78,1.52,0.342,0.001,2.482,397201.0,0.0155023070230468,27.28535207363175,0.17451654878944,5.86,6.6,150.28255,1.87738,1.172,0.938,-76.96,1.25,0.2,0.0,1.963
10,25.79999817260241,0.036048849483918,4.77,5.94,150.26478711435928,1.902102182239848,3.307,2.717,-15.36,1.217,0.178,0.01,4.373,484728.0,0.0262210839707155,26.88882632647704,0.0635352959640734,4.58,7.92,150.26478148711013,1.9021068104451144,2.671,2.065,8.88,1.293,0.227,0.0,3.946,143483.0,0.0297393903866617,27.222337023558723,0.1093070383015486,3.5,5.94,150.2647877578627,1.902110418107656,2.521,0.841,59.68,2.999,0.667,0.0,3.047,399665.0,0.0283142529485117,26.29887217601756,0.1425014282667282,7.34,5.28,150.264779,1.902103,2.466,1.139,42.85,2.165,0.538,0.0,6.545
10,26.75430308793032,0.0531103052740076,4.16,5.28,150.26639568217772,1.9085111750121384,2.363,1.855,-59.78,1.274,0.215,0.723,2.934,485983.0,0.0357036706726391,27.904393267783284,0.0765825705565784,3.5,5.94,150.26640557994142,1.9085104654826308,1.812,1.159,-87.34,1.563,0.36,0.508,2.102,144698.0,0.0221147596591815,26.908133781840696,0.1048697271065561,4.79,6.6,150.2663914188896,1.9085067499872803,1.657,1.121,-26.47,1.477,0.323,0.229,2.489,401259.0,0.0313623603287208,27.45,-1.0,4.11,5.28,150.266396,1.908502,1.176,0.919,53.32,1.28,0.219,0.0,1.645
10,26.391028909585188,0.0608139572594706,7.76,10.56,150.34750097957124,1.8795395760685432,2.844,1.147,-30.85,2.479,0.597,0.707,8.679,486074.0,0.0232917001313999,27.515657721134943,0.1018185844593895,7.08,9.24,150.34749485872473,1.8795416820984736,1.757,1.058,-56.88,1.661,0.398,0.003,4.337,144794.0,0.0651565629427992,27.19078596596197,0.1913211623488289,7.4,7.92,150.34748416694922,1.8795463002971744,1.873,0.818,-85.19,2.29,0.563,0.0,3.264,401363.0,0.0628319767496014,27.45,-1.0,5.99,5.28,150.347486,1.879549,1.912,0.774,54.69,2.47,0.595,0.0,1.625
