Teff,logg,logZ,CtoO,logKzz,F115W,F150W,F277W,F444W
500,3.5,-2.5,0.1,-1,-25.02911258722954,-26.73981848812625,-26.96409659173924,-30.843401135039095
500,3.5,-2.5,0.1,2,-25.021955838866198,-26.736733784058448,-26.96863782723542,-30.842747747329256
500,3.5,-2.5,0.1,10,-25.078730964021346,-26.756089539209242,-26.98227262414393,-30.848623576866125
500,3.5,-2.5,0.55,-1,-25.216521107189394,-26.96195530500733,-27.097919032255056,-30.893888373539397
500,3.5,-2.5,0.55,2,-25.215621898639576,-26.962549109367856,-27.0995043211639,-30.893716675481294
500,3.5,-2.5,0.55,10,-25.24798933218934,-26.941731294113545,-27.093907275287428,-30.89862164172736
500,3.5,-2.5,0.85,-1,-25.29581774030591,-27.059132295902273,-27.16096410462939,-30.903640551701717
500,3.5,-2.5,0.85,2,-25.24466311384772,-27.034789384952,-27.166498143816852,-30.90397923679562
500,3.5,-2.5,0.85,10,-25.294094365358276,-27.02550694620618,-27.17212263270648,-30.91234695807277
500,3.5,-2.0,0.1,-1,-25.729604305832204,-26.607284884933556,-26.721501828670622,-30.935634162609134
500,3.5,-2.0,0.1,2,-25.702364788766403,-26.61001702942976,-26.741132827552345,-30.93342712226474
500,3.5,-2.0,0.1,10,-25.70870538764131,-26.643670134338254,-26.776891923742852,-30.93240537510505
500,3.5,-2.0,0.55,-1,-26.01545706925714,-26.877759527665297,-26.922331488141936,-30.99147341523348
500,3.5,-2.0,0.55,2,-25.90983624369294,-26.838833935023942,-26.94838496460305,-30.988040873486078
500,3.5,-2.0,0.55,10,-25.909571133706727,-26.870096312440115,-26.998402675896102,-30.98231732226653
500,3.5,-2.0,0.85,-1,-25.98055402711964,-26.880741617637295,-26.99626627353483,-30.991560124793093
500,3.5,-2.0,0.85,2,-25.994597729577794,-26.90245796424427,-27.01343407426162,-30.988525256958322
500,3.5,-2.0,0.85,10,-26.06798542558296,-26.96186122657818,-27.04356698989737,-30.98662527827468
500,3.5,-1.5,0.1,-1,-26.547722868190835,-26.669301765618236,-26.346663126472638,-30.970068314377315
500,3.5,-1.5,0.1,2,-26.50360233455428,-26.69649558334289,-26.41786264845659,-30.969154594188637
500,3.5,-1.5,0.1,10,-26.49424566848269,-26.82843417820235,-26.593637611863052,-30.936826914139452
500,3.5,-1.5,0.55,-1,-26.850080585401336,-26.83257138925754,-26.620337287785482,-31.008127083753216
500,3.5,-1.5,0.55,2,-26.815797132531,-26.946000824496267,-26.774599066798444,-31.0129331716228
500,3.5,-1.5,0.55,10,-26.82845224241738,-27.04262780969536,-26.887074347853982,-30.948715342895113
500,3.5,-1.5,0.85,-1,-26.87138051326116,-26.844683960386956,-26.69871831981267,-31.007186081597915
500,3.5,-1.5,0.85,2,-26.82220402058423,-26.90226491650259,-26.79058708062543,-31.002780438747898
500,3.5,-1.5,0.85,10,-26.91348501114634,-27.11167211132224,-26.965439498992918,-30.91816982172865
500,3.5,-1.0,0.1,-1,-27.514154560126318,-26.857692292876813,-26.01319371469878,-30.88784296522652
500,3.5,-1.0,0.1,2,-27.36290001137568,-26.982832807166005,-26.32341135906867,-30.89348967486764
500,3.5,-1.0,0.1,10,-27.42092835448991,-27.161135793203044,-26.528695727477775,-30.815288072109702
500,3.5,-1.0,0.55,-1,-27.743934850787134,-26.83636666355941,-26.326035116608786,-30.916837024178022
500,3.5,-1.0,0.55,2,-27.612990439205074,-27.03670646151248,-26.605075958568378,-30.895815427216412
500,3.5,-1.0,0.55,10,-27.76254397726504,-27.340698672045747,-26.895941532121206,-30.715290728465106
500,3.5,-1.0,0.85,-1,-27.72345031644832,-26.819428951406394,-26.378374319218388,-30.914254740138276
500,3.5,-1.0,0.85,2,-27.59222086305478,-27.04886522973026,-26.712007475749036,-30.893811971435632
500,3.5,-1.0,0.85,10,-27.78700375954977,-27.385957139873682,-27.019416385047556,-30.6678031155325
500,3.5,-0.5,0.1,-1,-28.20143230978784,-27.120242123578496,-25.868667764033248,-30.738969605537537
500,3.5,-0.5,0.1,2,-27.998833191606124,-27.262458952769112,-26.310832892973576,-30.714413459715757
500,3.5,-0.5,0.1,10,-28.047037261217728,-27.478153341571407,-26.54206748375424,-30.525646992907703
500,3.5,-0.5,0.55,-1,-28.290462177504665,-26.9293453201906,-26.097150111609295,-30.746890176273812
500,3.5,-0.5,0.55,2,-28.132375007690882,-27.149200952095214,-26.58115958549548,-30.69778613725985
500,3.5,-0.5,0.55,10,-28.357726063092596,-27.579783915391545,-26.90856193047171,-30.28909830726483
500,3.5,-0.5,0.85,-1,-28.350317050675436,-26.869308826233265,-26.16489191524782,-30.755918442766664
500,3.5,-0.5,0.85,2,-28.129078178664674,-27.149222844426802,-26.64680881511945,-30.687405162804666
500,3.5,-0.5,0.85,10,-28.357651760510475,-27.573524888568343,-27.031890601442335,-30.22519291332527
500,3.5,-0.25,0.1,-1,-28.36606223905413,-27.218522838223976,-25.839810106776824,-30.658601712156862
500,3.5,-0.25,0.1,2,-28.155082998594764,-27.29907698695539,-26.34106089641665,-30.603799618605226
500,3.5,-0.25,0.1,10,-28.23343164986276,-27.563345090336536,-26.56157859204899,-30.366585681920903
500,3.5,-0.25,0.55,-1,-28.447009646269397,-27.001915699072434,-26.083910600274827,-30.68424107144333
500,3.5,-0.25,0.55,2,-28.257792750337217,-27.149186160896797,-26.558828200589243,-30.571517938989295
500,3.5,-0.25,0.55,10,-28.491646788495476,-27.603128955448067,-26.91973667216061,-30.087927605424536
500,3.5,-0.25,0.85,-1,-28.54703125807585,-26.93713344650859,-26.13898028600432,-30.69375789171342
500,3.5,-0.25,0.85,2,-28.223836295022956,-27.138267110626536,-26.623302389345938,-30.560958818814964
500,3.5,-0.25,0.85,10,-28.511560060493167,-27.620011081996413,-27.016378142431776,-29.999171021276617
500,3.5,+0.0,0.1,-1,-28.46820728782405,-27.276587938355203,-25.83641149446656,-30.589681283716814
500,3.5,+0.0,0.1,2,-28.264806939697266,-27.275275818031204,-26.370109942098452,-30.491739614478185
500,3.5,+0.0,0.1,10,-28.291007505674703,-27.572982219265803,-26.55596716980433,-30.21653758531899
500,3.5,+0.0,0.55,-1,-28.526460562907573,-27.051516268404676,-26.080245507745058,-30.626364810450227
