ID,T_eff,T_eff_uperr,T_eff_loerr,T_peak,log_g,log_g_uperr,log_g_loerr,log_g_peak,M,M_uperr,M_loerr,M_peak,distance,distance_uperr,distance_loerr,distance_peak,type,F444W,F444W_err,F277W,F277W_err,F150W,F150W_err,F115W,F115W_err
BD01,957,8.2,15.9,959,5.5,0.09,1.18,5.51,-0.5,0.29,0.07,-0.51,492,31.3,7.1,496,5,24.345978483044515,0.0066694963190283,26.85396802480809,0.0371538799972871,25.97796546125488,0.0299042335471509,25.363228448961543,0.0213714475113885
BD02,1192,45.4,50.3,1210,4.7,0.42,0.53,4.88,-0.1,0.41,0.34,-0.04,2064,399.0,338.0,1988,2,26.36620179262473,0.0476787783720145,28.03693119464254,0.0804362147400951,27.06527140097029,0.0904055800138724,27.137457369044085,0.105814147257927
BD03,947,17.4,28.1,948,5.4,0.15,0.35,5.47,-0.5,0.24,0.1,-0.53,771,88.1,33.4,763,4,25.285140202765387,0.013378979637985,27.820437659336527,0.0891066591435905,26.705368755515416,0.0735326261209551,26.460133115594747,0.0572081075640782
BD04,1218,6.5,19.6,1200,5.0,0.08,0.35,5.12,0.0,0.04,0.04,-0.03,470,25.6,4.1,466,4,23.45390870084395,0.0032296983107958,25.128270522996093,0.009274605950605,24.219190488858303,0.0071721895966601,23.822920378019774,0.005917553125571
BD05,1070,28.5,35.5,1075,5.4,0.17,0.32,5.54,-0.1,0.4,0.38,0.03,1027,146.0,101.0,1013,7,25.63787286352572,0.0187358322463124,27.918211832852226,0.0742894425789805,26.86639698231064,0.0692091587132201,26.1237479153147,0.0403289985046116
BD06,1512,44.6,50.8,1519,5.4,0.12,0.21,5.5,-0.5,0.2,0.1,-0.52,2575,205.0,181.0,2572,0,26.68579097698527,0.0546466939159742,28.064998087956106,0.080942668387198,26.56288813311306,0.0919079077586606,26.82617521193389,0.0668809202412135
BD07,1283,34.9,47.7,1281,5.2,0.3,0.45,5.29,-0.3,0.41,0.28,-0.52,1654,309.0,236.0,1503,4,26.069635083057403,0.0285220071625735,27.761900673763208,0.0946971183476194,26.59031418492152,0.0717061646623352,26.358187806938208,0.0463464744192702
BD08,1214,7.4,8.4,1214,4.5,0.07,0.09,4.46,0.0,0.05,0.04,0.04,930,21.7,24.1,945,3,24.51706720892272,0.0078817434246822,26.00843854421017,0.0179922133153428,25.23809314704265,0.0156629720874758,25.12062703882645,0.018218711517877
BD09,1401,35.2,41.1,1405,5.4,0.17,0.29,5.55,-0.5,0.31,0.1,-0.55,2137,234.0,162.0,2075,3,26.4692447599266,0.0383658582764108,28.00542289398684,0.0780985879310456,26.71316620658093,0.07557480892185,26.640123527429296,0.0569270842432114
BD10,1298,26.3,32.1,1303,5.4,0.13,0.35,5.49,-0.4,0.33,0.14,-0.54,1566,174.0,98.1,1540,5,26.08239836458274,0.0244827061184073,27.7370161925922,0.067932871257485,26.76467984500258,0.0567631931731844,26.203110159202,0.0451062397197668
BD11,1022,29.8,29.4,1019,4.4,0.52,0.52,4.38,-0.1,0.42,0.37,-0.45,1504,234.0,266.0,1525,5,25.897801182619336,0.0249187428622819,27.94410108198792,0.1240090144303524,27.1796828627969,0.0795228883172582,26.568537475868222,0.05817409218927
BD12,876,30.5,25.7,871,4.0,1.0,0.78,3.02,0.0,0.43,0.42,-0.04,1217,187.0,280.0,1341,9,25.685217548981548,0.0218430802123115,28.28,-1.0,27.557242719158022,0.0874889037097637,26.61784869553587,0.0568631002354542
BD13,1325,9.1,7.6,1324,4.5,0.25,0.09,4.43,-0.3,0.28,0.05,-0.27,677,20.3,75.8,694,4,23.513975659256005,0.0034087736869849,24.81857958154533,0.0071704815230656,24.078294501708665,0.0067027214966207,23.836205285236307,0.0077124291784317
BD14,1054,36.4,36.2,1056,4.4,0.48,0.55,4.49,-0.1,0.45,0.38,-0.5,1748,259.0,309.0,1778,5,26.141069383266107,0.0355274984922361,28.054990111217304,0.0990570748209561,27.35645826064147,0.0862324379660788,26.74066873931321,0.0829902783083108
BD15,850,4.2,69.3,848,5.5,0.07,2.2,5.54,-0.5,0.32,0.07,-0.53,216,105.0,0.4,216,5,22.875903967866243,0.0019813865783368,25.749328697738868,0.0148633151068124,24.9224599361738,0.0125032973038454,24.28791894008084,0.0089584337011082
BD16,1326,34.8,47.4,1342,5.2,0.29,0.44,5.28,-0.2,0.48,0.37,-0.52,1539,340.0,221.0,1416,5,25.867625826825325,0.025197072845226,27.20568104532512,0.0662051734941333,26.476911144418107,0.0600592793772458,25.97689982032448,0.0400240966494367
BD17,1427,91.7,83.8,1400,4.0,0.77,0.63,3.74,0.0,0.43,0.42,-0.11,4000,1145,1146,3843,4,26.800365006080373,0.0538933451723754,28.28,-1.0,27.247983570246426,0.0957291850991994,26.97786244245438,0.0813343582579866
BD18,1012,13.6,28.6,1018,4.2,0.39,0.29,4.09,-0.2,0.61,0.28,-0.52,889,74.7,167.0,971,7,24.651252760880443,0.0088201325808455,26.726137012676013,0.035215824066243,26.060322613944763,0.0340669428870345,25.2611142637589,0.0211117345579285
BD19,1322,51.7,54.8,1316,5.2,0.29,0.48,5.55,0.9,0.52,0.37,0.68,2214,410.0,290.0,2125,9,26.714335912353903,0.039788442381874,28.00140603881443,0.0813198423090653,27.572200411052,0.1147184438535213,26.62011614128547,0.0801625175692467
BD20,1218,24.1,35.1,1229,5.4,0.14,0.41,5.51,0.7,0.35,0.22,0.5,1242,142.0,82.2,1210,5,25.76148015755341,0.0178786480912518,27.612628561837223,0.0621338864850258,26.624803004603567,0.0498196200550395,26.01852818926416,0.0365316435015966
