ID,T_peak,logg_peak,Z_peak,d_peak,CO_ratio_peak,logK_peak,Teff16,Teff50,Teff84,logg16,logg50,logg84,Z16,Z50,Z84,d16,d50,d84,CO_ratio16,CO_ratio50,CO_ratio84,logK16,logK50,logK84
2301,855.0,4.1,-0.7,581.2,0.8,0.2,846.2,870.3,900.9,3.73,4.07,4.51,-0.79,-0.69,-0.6,562.0,597.0,644.0,0.41,0.65,0.82,-0.44,1.6,4.86
2302,1224.0,4.9,-0.8,2350.0,0.1,6.1,1116.4,1207.6,1278.5,4.05,4.6,5.06,-1.3,-0.81,-0.37,2030.0,2346.0,2576.0,0.13,0.31,0.64,0.96,5.07,9.09
2303,939.8,4.9,-1.0,1132.8,0.2,9.4,876.3,934.6,972.5,3.81,4.55,5.03,-1.15,-1.0,-0.79,914.0,1048.0,1136.0,0.12,0.28,0.63,0.81,5.23,9.2
2304,1053.8,4.4,0.0,458.5,0.5,3.5,1053.4,1055.6,1072.5,4.4,4.44,4.58,-0.03,0.01,0.05,460.0,460.0,473.0,0.39,0.52,0.64,1.4,3.34,5.11
2305,915.0,4.9,0.1,1053.8,0.5,0.2,787.0,885.5,948.0,4.19,4.7,5.07,-0.16,0.1,0.39,738.0,983.0,1118.0,0.39,0.58,0.78,0.49,4.5,9.15
2307,1340.0,5.3,0.3,1450.0,0.3,8.8,1027.0,1164.8,1362.3,3.74,4.74,5.14,-1.99,0.32,0.7,1276.0,1735.0,2277.0,0.16,0.38,0.63,1.69,6.73,9.58
2308,1130.0,4.3,-0.3,825.0,0.6,4.2,1107.3,1142.4,1267.6,3.89,4.25,4.37,-1.67,-0.3,-0.06,821.0,880.0,1029.0,0.2,0.46,0.65,0.47,3.65,7.45
2309,1145.0,5.3,0.6,1795.0,0.7,9.4,1134.5,1221.0,1419.7,3.96,4.82,5.2,-2.01,0.62,0.88,1686.0,1982.0,2834.0,0.24,0.46,0.63,3.87,7.82,9.98
2310,1273.8,3.4,1.0,1723.8,0.1,2.8,1023.8,1250.8,1373.6,3.5,4.88,5.17,-2.15,0.46,0.99,1389.0,1748.0,2347.0,0.11,0.27,0.58,0.46,3.06,5.8
2311,936.2,3.6,-0.3,1261.2,0.8,0.2,829.3,918.1,982.6,3.57,3.96,4.57,-0.52,-0.25,0.27,967.0,1195.0,1348.0,0.29,0.59,0.81,0.05,3.34,7.22
2312,765.0,5.3,-0.2,856.2,0.6,0.2,693.9,759.1,810.7,3.8,4.52,5.06,-0.34,-0.01,0.45,683.0,848.0,977.0,0.24,0.52,0.76,-0.1,2.5,5.34
2314,916.2,3.6,-0.3,1335.0,0.8,-0.5,832.9,928.4,1019.4,3.55,3.87,4.33,-0.51,-0.14,0.59,1050.0,1319.0,1539.0,0.22,0.53,0.79,0.15,3.76,8.37
2316,1426.2,3.4,1.0,2207.5,0.1,0.2,1338.5,1414.8,1454.3,3.45,3.6,4.9,-2.42,-2.06,1.0,1730.0,2131.0,2278.0,0.1,0.19,0.29,0.13,3.4,7.83
2317,1458.0,3.4,-2.5,3447.5,0.2,-0.5,1380.1,1468.4,1556.4,3.57,4.0,4.72,-2.34,-1.44,0.75,3029.0,3385.0,3672.0,0.11,0.23,0.49,0.66,4.54,8.85
2318,883.8,3.5,-0.2,614.8,0.7,0.9,825.9,871.1,923.9,3.47,3.63,3.95,-0.3,-0.15,0.04,545.0,610.0,685.0,0.36,0.55,0.76,0.72,2.8,4.91
2319,982.5,3.5,1.0,1462.5,0.5,1.5,823.0,982.0,1435.7,3.55,4.0,4.4,-2.13,0.81,1.02,1136.0,1568.0,3256.0,0.21,0.5,0.77,1.09,3.37,5.81
2320,1023.0,4.9,1.1,1375.0,0.2,5.5,964.5,1027.7,1180.2,4.56,4.93,5.12,0.16,0.55,1.01,1119.0,1284.0,1416.0,0.16,0.39,0.66,0.96,3.62,6.06
2321,657.5,4.5,-0.8,416.2,0.1,-0.5,624.0,653.6,680.3,3.75,4.34,4.9,-0.98,-0.81,-0.65,373.0,414.0,446.0,0.17,0.45,0.74,-0.02,2.73,5.27
2322,902.5,3.5,0.0,1090.0,0.8,0.2,760.1,865.9,933.4,3.49,3.71,4.16,-0.34,-0.04,0.39,745.0,1000.0,1179.0,0.38,0.63,0.83,0.06,4.38,8.73
2323,866.2,4.2,-0.2,1030.0,0.4,-0.5,779.0,851.4,913.3,3.81,4.31,4.9,-0.4,-0.16,0.18,836.0,1019.0,1182.0,0.3,0.54,0.79,-0.07,2.88,6.53
12007,1386.0,3.5,-0.3,3225.0,0.5,-0.5,1281.5,1395.5,1489.2,3.58,4.03,4.74,-1.31,-0.42,0.26,2674.0,3152.0,3498.0,0.35,0.53,0.74,0.48,4.4,8.7
