ID,T_peak,logg_peak,Z_peak,d_peak,Teff16,Teff50,Teff84,logg16,logg50,logg84,Z16,Z50,Z84,d16,d50,d84
2301,959,5.5,-0.5,489,951.7,958.3,964.4,5.4,5.5,5.57,-0.57,-0.52,-0.46,486.0,491.0,506.0
2302,1208.0,4.8,0.0,1985.0,1149.2,1195.1,1235.2,4.31,4.74,5.11,-0.41,-0.11,0.23,1771.0,2051.0,2400.0
2303,943.8,5.5,-0.5,762.5,926.8,946.8,963.0,5.1,5.41,5.55,-0.55,-0.44,-0.23,739.0,770.0,846.0
2304,1222.5,5.1,0.0,469.5,1200.7,1219.1,1222.5,4.97,5.07,5.12,-0.03,0.0,0.04,465.0,468.0,494.0
2305,1072.5,5.5,-0.0,1025.0,1047.3,1073.8,1097.7,5.14,5.4,5.54,-0.43,-0.1,0.22,939.0,1026.0,1137.0
2307,1287.5,5.3,-0.5,1500.0,1248.6,1285.5,1318.7,4.87,5.22,5.47,-0.5,-0.21,0.16,1437.0,1639.0,1915.0
2308,1212.5,4.5,0.0,922.2,1203.3,1213.6,1221.2,4.39,4.47,4.54,-0.03,0.01,0.05,908.0,932.0,953.0
2309,1405.2,5.6,-0.5,2087.5,1371.6,1404.9,1436.9,5.15,5.38,5.54,-0.56,-0.47,-0.26,1993.0,2140.0,2339.0
2310,1302.5,5.5,-0.6,1537.5,1275.3,1299.2,1322.1,5.25,5.45,5.55,-0.55,-0.42,-0.14,1475.0,1559.0,1683.0
2311,1027.5,4.5,-0.6,1560.0,997.5,1022.9,1048.7,3.88,4.37,4.87,-0.45,-0.13,0.24,1297.0,1530.0,1738.0
2312,874.0,3.2,0.1,1312.5,849.3,874.0,899.6,3.22,3.95,4.85,-0.41,-0.01,0.4,984.0,1224.0,1398.0
2314,1056.2,4.5,-0.5,1842.5,1024.0,1055.7,1088.2,3.97,4.42,4.87,-0.45,-0.11,0.3,1490.0,1761.0,1989.0
2316,1336.2,5.3,-0.5,1525.0,1289.4,1328.1,1359.8,4.79,5.18,5.44,-0.47,-0.14,0.31,1340.0,1548.0,1845.0
2317,1391.2,3.8,-0.5,4202.5,1357.2,1433.6,1522.9,3.44,4.04,4.79,-0.42,-0.01,0.41,2934.0,4077.0,5248.0
2318,1015.0,4.1,-0.5,962.5,987.5,1012.4,1025.2,3.99,4.27,4.63,-0.49,-0.23,0.34,735.0,886.0,958.0
2319,1330.0,5.6,-0.5,2082.5,1272.4,1319.6,1367.1,4.77,5.21,5.48,-0.47,-0.13,0.37,1951.0,2224.0,2671.0
2320,1218.8,5.5,-0.5,1237.5,1193.7,1219.9,1241.5,5.22,5.44,5.55,-0.53,-0.3,0.0,1178.0,1244.0,1355.0
2321,702.5,5.5,-0.5,327.5,695.3,703.7,711.2,5.3,5.47,5.56,-0.57,-0.51,-0.46,323.0,330.0,348.0
2322,1056.2,4.3,-0.5,1747.5,1024.5,1051.6,1076.7,3.77,4.21,4.63,-0.45,-0.1,0.34,1381.0,1622.0,1805.0
2323,965.0,4.9,-0.5,1047.5,931.3,963.4,995.9,4.43,4.91,5.35,-0.46,-0.12,0.3,977.0,1120.0,1306.0
12007,1412.5,3.0,-0.0,4427.5,1336.0,1401.0,1465.1,3.06,3.44,3.94,-0.37,0.02,0.39,3868.0,4482.0,5136.0
12016,1337.5,3.6,0.5,4057.5,1263.8,1330.0,1400.6,3.27,3.71,4.21,-0.38,0.06,0.43,3477.0,4160.0,4890.0
12026,1368.8,4.2,-0.1,1575.0,1362.0,1372.1,1383.9,3.98,4.17,4.33,-0.23,-0.09,0.04,1486.0,1588.0,1694.0
12051,1322.5,4.0,-0.1,1390.0,1312.7,1322.7,1331.2,3.96,4.05,4.14,-0.19,-0.08,0.01,1331.0,1389.0,1444.0
12084,1637.5,5.6,-0.3,1975.0,1609.4,1634.9,1659.5,5.16,5.36,5.53,-0.51,-0.33,-0.15,1945.0,2089.0,2272.0
